Participant,Seconds,angry,afraid,happy,sad,neutral
T051,997.0,,,,,
T051,998.0,,,,,
T051,999.0,,,,,
T051,1000.0,,,,,
T051,1001.0,,,,,
T051,1002.0,,,,,
T051,1003.0,,,,,
T051,1004.0,,,,,
T051,1005.0,,,,,
T051,1006.0,,,,,
T051,1007.0,,,,,
T051,1008.0,,,,,
T051,1009.0,,,,,
T051,1010.0,,,,,
T051,1011.0,,,,,
T051,1012.0,,,,,
T051,1013.0,,,,,
T051,1014.0,,,,,
T051,1015.0,,,,,
T051,1016.0,,,,,
T051,1017.0,,,,,
T051,1018.0,,,,,
T051,1019.0,,,,,
T051,1020.0,,,,,
T051,1021.0,,,,,
T051,1022.0,,,,,
T051,1023.0,,,,,
T051,1024.0,,,,,
T051,1025.0,,,,,
T051,1026.0,,,,,
T051,1027.0,,,,,
T051,1028.0,,,,,
T051,1029.0,,,,,
T051,1030.0,,,,,
T051,1031.0,,,,,
T051,1032.0,,,,,
T051,1033.0,,,,,
T051,1034.0,,,,,
T051,1035.0,,,,,
T051,1036.0,,,,,
T051,1037.0,,,,,
T051,1038.0,,,,,
T051,1039.0,,,,,
T051,1040.0,,,,,
T051,1041.0,,,,,
T051,1042.0,,,,,
T051,1043.0,,,,,
T051,1044.0,,,,,
T051,1045.0,,,,,
T051,1046.0,,,,,
T051,1047.0,,,,,
T051,1048.0,,,,,
T051,1049.0,,,,,
T051,1050.0,,,,,
T051,1051.0,,,,,
T051,1052.0,,,,,
T051,1053.0,,,,,
T051,1054.0,,,,,
T051,1055.0,,,,,
T051,1056.0,,,,,
T051,1057.0,,,,,
T051,1058.0,,,,,
T051,1059.0,,,,,
T051,1060.0,,,,,
T051,1061.0,,,,,
T051,1062.0,,,,,
T051,1063.0,,,,,
T051,1064.0,,,,,
T051,1065.0,,,,,
T051,1066.0,,,,,
T051,1067.0,,,,,
T051,1068.0,,,,,
T051,1069.0,,,,,
T051,1070.0,,,,,
T051,1071.0,,,,,
T051,1072.0,,,,,
T051,1073.0,,,,,
T051,1074.0,,,,,
T051,1075.0,,,,,
T051,1076.0,,,,,
T051,1077.0,,,,,
T051,1078.0,,,,,
T051,1079.0,,,,,
T051,1080.0,,,,,
T051,1081.0,,,,,
T051,1082.0,,,,,
T051,1083.0,,,,,
T051,1084.0,,,,,
T051,1085.0,,,,,
T051,1086.0,,,,,
T051,1087.0,,,,,
T051,1088.0,,,,,
T051,1089.0,,,,,
T051,1090.0,,,,,
T051,1091.0,,,,,
T051,1092.0,,,,,
T051,1093.0,,,,,
T051,1094.0,,,,,
T051,1095.0,,,,,
T051,1096.0,,,,,
T051,1097.0,,,,,
T051,1098.0,,,,,
T051,1099.0,,,,,
T051,1100.0,,,,,
T051,1101.0,,,,,
T051,1102.0,,,,,
T051,1103.0,,,,,
T051,1104.0,,,,,
T051,1105.0,,,,,
T051,1106.0,,,,,
T051,1107.0,,,,,
T051,1108.0,,,,,
T051,1109.0,,,,,
T051,1110.0,,,,,
T051,1111.0,,,,,
T051,1112.0,,,,,
T051,1113.0,,,,,
T051,1114.0,,,,,
T051,1115.0,,,,,
T051,1116.0,,,,,
T051,1117.0,,,,,
T051,1118.0,,,,,
T051,1119.0,,,,,
T051,1120.0,,,,,
T051,1121.0,,,,,
T051,1122.0,,,,,
T051,1123.0,,,,,
T051,1124.0,,,,,
T051,1125.0,,,,,
T051,1126.0,,,,,
T051,1127.0,,,,,
T051,1128.0,,,,,
T051,1129.0,,,,,
